opcode
ae_abs16s
ae_abs24s
ae_abs32
ae_abs32s
ae_abs64
ae_abs64s
ae_add16
ae_add16s
ae_add24s
ae_add32
ae_add32_hl_lh
ae_add32s
ae_add64
ae_add64s
ae_addsub32
ae_addsub32s
ae_and
ae_cvt32x2f16.10
ae_cvt32x2f16.32
ae_cvt48a32
ae_cvt64a32
ae_cvt64f32.h
ae_cvta32f24s.h
ae_cvta32f24s.l
ae_cvtq56a32s
ae_cvtq56p32s.h
ae_cvtq56p32s.l
ae_db.ic
ae_db.ip
ae_dbi.ic
ae_dbi.ip
ae_div64d32.h
ae_div64d32.l
ae_eq16
ae_eq32
ae_eq64
ae_l16.i
ae_l16.ip
ae_l16.x
ae_l16.xc
ae_l16.xp
ae_l16m.i
ae_l16m.iu
ae_l16m.x
ae_l16m.xc
ae_l16m.xu
ae_l16x2m.i
ae_l16x2m.iu
ae_l16x2m.x
ae_l16x2m.xc
ae_l16x2m.xu
ae_l16x4.i
ae_l16x4.ip
ae_l16x4.x
ae_l16x4.xc
ae_l16x4.xp
ae_l32.i
ae_l32.ip
ae_l32.x
ae_l32.xc
ae_l32.xp
ae_l32f24.i
ae_l32f24.ip
ae_l32f24.x
ae_l32f24.xc
ae_l32f24.xp
ae_l32m.i
ae_l32m.iu
ae_l32m.x
ae_l32m.xc
ae_l32m.xu
ae_l32x2.i
ae_l32x2.ip
ae_l32x2.ric
ae_l32x2.x
ae_l32x2.xc
ae_l32x2.xp
ae_l32x2f24.i
ae_l32x2f24.ip
ae_l32x2f24.ric
ae_l32x2f24.rip
ae_l32x2f24.x
ae_l32x2f24.xc
ae_l32x2f24.xp
ae_l64.i
ae_l64.ip
ae_l64.x
ae_l64.xc
ae_l64.xp
ae_la16x4.ic
ae_la16x4.ip
ae_la16x4.ric
ae_la16x4.rip
ae_la16x4neg.pc
ae_la16x4pos.pc
ae_la24.ic
ae_la24.ip
ae_la24.ric
ae_la24.rip
ae_la24neg.pc
ae_la24pos.pc
ae_la24x2.ic
ae_la24x2.ip
ae_la24x2.ric
ae_la24x2.rip
ae_la24x2neg.pc
ae_la24x2pos.pc
ae_la32x2.ic
ae_la32x2.ip
ae_la32x2.ric
ae_la32x2.rip
ae_la32x2f24.ic
ae_la32x2f24.ip
ae_la32x2f24.ric
ae_la32x2f24.rip
ae_la32x2neg.pc
ae_la32x2pos.pc
ae_la64.pp
ae_lalign64.i
ae_lbs
ae_lbsi
ae_le16
ae_le32
ae_le64
ae_lt16
ae_lt32
ae_lt64
ae_max32
ae_max64
ae_maxabs32s
ae_maxabs64s
ae_min32
ae_min64
ae_minabs32s
ae_minabs64s
ae_mov
ae_movad16.0
ae_movad16.1
ae_movad16.2
ae_movad16.3
ae_movad32.h
ae_movad32.l
ae_movalign
ae_movda16
ae_movda16x2
ae_movda32
ae_movda32x2
ae_movf16x4
ae_movf32x2
ae_movf64
ae_movi
ae_movt16x4
ae_movt32x2
ae_movt64
ae_mul16x4
ae_mul32.hh
ae_mul32.lh
ae_mul32.ll
ae_mul32u.ll
ae_mul32x16.h0
ae_mul32x16.h1
ae_mul32x16.h2
ae_mul32x16.h3
ae_mul32x16.l0
