opcode
ae_add32s_hl_lh
ae_add72
ae_add72x64
ae_addandsub32s
ae_addandsubrng32
ae_addcirc.xc
ae_addcirc.xc1
ae_addicirc
ae_addrng32
ae_bitswap
ae_clamps16
ae_cvt48f32.h
ae_cvt48f32.l
ae_db.ic1
ae_dbi.ic1
ae_l16.xc1
ae_l16m.xc1
ae_l16si.n
ae_l16ui.n
ae_l16x2m.xc1
ae_l16x4.xc1
ae_l32.xc1
ae_l32f24.xc1
ae_l32x2.ric1
ae_l32x2.xc1
ae_l32x2f24.ri
ae_l32x2f24.ric1
ae_l32x2f24.xc1
ae_l64.xc1
ae_la16x4.ic1
ae_la16x4.ric1
ae_la16x4neg.pc1
ae_la16x4pos.pc1
ae_la24.ic1
ae_la24.ric1
ae_la24neg.pc1
ae_la24pos.pc1
ae_la24x2.ic1
ae_la24x2.ric1
ae_la24x2neg.pc1
ae_la24x2pos.pc1
ae_la32x2.ic1
ae_la32x2.ric1
ae_la32x2f24.ic1
ae_la32x2f24.ric1
ae_la32x2neg.pc1
ae_la32x2pos.pc1
ae_movab
ae_movab2
ae_movab4
ae_movae
ae_movasar
ae_movb2
ae_movb4
ae_movba
ae_movba1x2
ae_movba2
ae_movba4
ae_movea
ae_moveep
ae_movfcrfsrv
ae_movsara7x2
ae_movsard7
ae_movvfcrfsr
ae_mul16.00
ae_mul32ep.hh
ae_mul32js
ae_mul32usep.lh
ae_mul32usep.ll
ae_mula16.00
ae_mula32ep.hh
ae_mula32usep.lh
ae_mula32usep.ll
ae_mulaaaafq32x16
ae_mulaaaaq16
ae_mulaaaaq32x16
ae_mulaad32.hh.ll
ae_mulaad32.hl.lh
ae_mulaad32ep.hh.ll
ae_mulaad32usep.hl.lh
ae_mulaafd32ra.hh.ll
ae_mulaafd32ra.hl.lh
ae_mulaafd32s.hh.ll
ae_mulaafd32s.hl.lh
ae_mulac32
ae_mulaf32ra.hh
ae_mulaf32ra.lh
ae_mulaf32ra.ll
ae_mulafc32ras
ae_mulafd32x2ra.fir.h
ae_mulafd32x2ra.fir.l
ae_mulafd32x2s.fir.h
ae_mulafd32x2s.fir.l
ae_mulafp32x16x2s.h
ae_mulafp32x16x2s.l
ae_mulasd32.hh.ll
ae_mulasd32.hl.lh
ae_mulasfd32ra.hh.ll
ae_mulasfd32ra.hl.lh
ae_mulasfd32s.hh.ll
ae_mulasfd32s.hl.lh
ae_mulc32
ae_mulf32ra.hh
ae_mulf32ra.lh
ae_mulf32ra.ll
ae_mulfc32ras
ae_mulfd32x2ra.fir.h
ae_mulfd32x2ra.fir.l
ae_mulfd32x2s.fir.h
ae_mulfd32x2s.fir.l
ae_mulfp32x16x2s.h
ae_mulfp32x16x2s.l
ae_muls32ep.hh
ae_mulsad32.hh.ll
ae_mulsafd32ra.hh.ll
ae_mulsafd32s.hh.ll
ae_mulsf32ra.hh
ae_mulsf32ra.lh
ae_mulsf32ra.ll
ae_mulsfp32x16x2s.h
ae_mulsfp32x16x2s.l
ae_mulssd32.hh.ll
ae_mulssd32.hl.lh
ae_mulssd32ep.hh.ll
ae_mulssfd32ra.hh.ll
ae_mulssfd32ra.hl.lh
ae_mulssfd32s.hh.ll
ae_mulssfd32s.hl.lh
ae_mulzaaaafq32x16
ae_mulzaaaaq16
ae_mulzaaaaq32x16
ae_mulzaad32.hh.ll
ae_mulzaad32.hl.lh
ae_mulzaad32ep.hh.ll
ae_mulzaad32usep.hl.lh
ae_mulzaafd32ra.hh.ll
ae_mulzaafd32ra.hl.lh
ae_mulzaafd32s.hh.ll
ae_mulzaafd32s.hl.lh
ae_mulzasd32.hh.ll
ae_mulzasd32.hl.lh
ae_mulzasfd32ra.hh.ll
ae_mulzasfd32ra.hl.lh
ae_mulzasfd32s.hh.ll
ae_mulzasfd32s.hl.lh
ae_mulzsad32.hh.ll
ae_mulzsafd32ra.hh.ll
ae_mulzsafd32s.hh.ll
ae_mulzssd32.hh.ll
ae_mulzssd32.hl.lh
ae_mulzssd32ep.hh.ll
ae_mulzssfd32ra.hh.ll
ae_mulzssfd32ra.hl.lh
ae_mulzssfd32s.hh.ll
ae_mulzssfd32s.hl.lh
ae_pksrf32
ae_rng32x2
ae_s16.0.xc1
ae_s16i.n
ae_s16m.l.xc1
ae_s16x2m.xc1
ae_s16x4.xc1
ae_s24ra64s.xc1
ae_s32.l.xc1
ae_s32f24.l.xc1
ae_s32ra64s.xc1
ae_s32x2.ric1
ae_s32x2.xc1
ae_s32x2f24.ric1
ae_s32x2f24.xc1
ae_s32x2rng.i
ae_s32x2rng.ip
ae_s32x2rng.x
ae_s32x2rng.xp
ae_s64.xc1
ae_sa16x4.ic1
ae_sa16x4.ric1
ae_sa24.l.ic1
ae_sa24.l.ric1
ae_sa24x2.ic1
ae_sa24x2.ric1
ae_sa32x2.ic1
ae_sa32x2.ric1
ae_sa32x2f24.ic1
ae_sa32x2f24.ric1
ae_sat64s
ae_sb.ic1
ae_sbf.ic1
ae_sbi.ic1
ae_sext16
ae_sext72
ae_slai72
ae_srai72
ae_sub72
ae_sub72x64
ae_subrng32
ae_vldl16c.ic1
ae_vles16c.ic1
ae_zext16
